Node	411.0	570.0
Node	538.0	555.0
Node	672.0	537.0
Node	804.0	509.0
Node	617.0	641.0
Node	734.0	616.0
Node	906.0	575.0
Node	682.0	729.0
Node	831.0	688.0
Node	1012.0	643.0
Node	776.0	811.0
Node	932.0	758.0
Node	1133.0	696.0
Node	876.0	862.0
Node	1037.0	807.0
Node	1221.0	741.0
Node	998.0	905.0
Node	1132.0	855.0
Node	1386.0	736.0
Node	1255.0	656.0
Node	1145.0	600.0
Node	1023.0	549.0
Node	962.0	504.0
Node	454.0	644.0
Node	512.0	745.0
Node	618.0	840.0
Node	692.0	934.0
Node	848.0	984.0
Node	653.0	384.0
Node	764.0	373.0
Node	902.0	317.0
Node	1069.0	357.0
Node	1140.0	421.0
Node	1237.0	474.0
Node	1376.0	555.0
Node	1434.0	610.0
Node	539.0	411.0
Node	431.0	432.0
Node	368.0	437.0
Node	1277.0	380.0
Node	1420.0	451.0
Node	1135.0	275.0
Node	966.0	235.0
Node	1054.0	168.0
Node	1224.0	222.0
Node	1348.0	279.0
Node	1327.0	180.0
Node	1181.0	125.0
Node	1429.0	220.0
Node	1422.0	337.0
Node	846.0	353.0
Node	802.0	289.0
Node	702.0	287.0
Node	598.0	284.0
Node	651.0	216.0
Node	757.0	215.0
Node	710.0	157.0
Link	38	37
Link	37	1
Link	5	1
Link	1	4
Link	4	7
Link	7	6
Link	6	8
Link	8	11
Link	11	9
Link	6	3
Link	3	2
Link	2	29
Link	29	28
Link	28	2
Link	2	36
Link	36	1
Link	1	0
Link	0	23
Link	23	4
Link	4	25
Link	25	24
Link	7	10
Link	10	8
Link	8	13
Link	13	16
Link	11	16
Link	16	14
Link	17	14
Link	14	12
Link	12	9
Link	9	21
Link	21	22
Link	22	32
Link	32	31
Link	31	30
Link	30	22
Link	22	3
Link	32	33
Link	33	34
Link	34	35
Link	35	18
Link	18	15
Link	15	17
Link	12	20
Link	20	19
Link	19	15
Link	13	27
Link	27	26
Link	26	25
Link	24	23
Link	0	38
Link	5	6
Link	20	32
Link	35	40
Link	40	49
Link	48	45
Link	45	39
Link	39	41
Link	41	47
Link	47	44
Link	45	46
Link	46	48
Link	44	45
Link	45	49
Link	41	42
Link	42	30
Link	43	41
Link	43	42
Link	31	39
Link	33	19
Link	19	12
Link	12	21
Link	21	8
Link	29	3
Link	54	52
Link	52	28
Link	28	53
Link	53	54
Link	54	56
Link	56	55
Link	55	29
Link	29	50
Link	50	30
Link	30	51
Link	51	55
